Line    1 | modem 1760932567     | 00000000
Line   69 | machine 1760932637   | 11111111 11111111 00001000 01000000 00000000 00000000 00000000 00000000 00000000 00000101 01001101 01100001 10000000
Line   70 | machine 1760932638   | 11111111 11111111 00100101 01000000 00000000 00000000 00000000 00000000 00000000 00010010 00010000 00000010 00000000 00000001 11011111 10101111 00101110 11011001 10010011 00110111 10010110 11110011 00000001 00110101 11000010 10010101 01110011 11011110 00011010 01010000 10111001 00100000 00001101 01010010 00010111 01110100 10110010 01111010 01011100 00000101 00001110 11110101
Line   71 | modem 1760932639     | 11111111 11111111 00001000 01000000 00000000 00000000 00000000 00000000 00000000 00000101 01001101 01100001 10000000
Line   72 | modem 1760932639     | 11111111 11111111 00001010 01000000 00000000 00000000 00000000 00000000 00000000 11110011 00000000 00000000 00111101 11010000 11100001
Line   73 | modem 1760932639     | 11111111 11111111 00100010 01000000 00000000 00000000 00000000 00000000 00000000 11110111 00000001 00000011 00000001 00001000 00000000 00000001 00000000 00000000 00000000 00000000 00000011 00000000 00000010 00000110 00000001 00000000 00000001 00000000 00000010 00000000 00000011 00000100 00000000 00000001 00010110 00000000 10010100 10110010 00010101
Line   74 | machine 1760932640   | 11111111 11111111 00001000 01000000 00000000 00000000 00000000 00000000 00000000 00000101 01001101 01100001 10000000
Line   75 | modem 1760932640     | 11111111 11111111 00001010 01000000 00000000 00000000 00000000 00000000 00000000 11110101 00000000 00000000 00111111 11010001 00000001
Line   76 | modem 1760932640     | 11111111 11111111 00001010 01000000 00000000 00000000 00000000 00000000 00000000 11110101 00000000 00000000 00111111 11010001 00000001
Line   77 | modem 1760932640     | 11111111 11111111 00001010 01000000 00000000 00000000 00000000 00000000 00000000 11110101 00000000 00000000 00111111 11010001 00000001
Line   78 | modem 1760932641     | 11111111 11111111 00011001 01000000 00000000 00000000 00000000 00000000 00000000 00010001 00000000 11110000 00111000 00110110 00110010 00111000 00110001 00110111 00110000 00110110 00111000 00110011 00110110 00110111 00111001 00110100 00111001 01111110 11001100 10000001
Line   79 | machine 1760932641   | 11111111 11111111 00001000 01000000 00000000 00000000 00000000 00000000 00000000 00000101 01001101 01100001 10000000
Line   80 | modem 1760932642     | 11111111 11111111 00100101 01000000 00000000 00000000 00000000 00000000 00000000 00010001 00010000 00000010 00000000 00000001 01010001 00110000 01111000 01100010 01110001 01010110 01010001 01110101 00000001 01001110 11100111 10101100 10101001 00000100 00110011 01100111 01110101 01100110 10010100 11111011 01110110 00101100 00000101 10101101 00101011 10000011 00111000 00000010
Line   81 | machine 1760932643   | 11111111 11111111 00001000 01000000 00000000 00000000 00000000 00000000 00000000 00000101 01001101 01100001 10000000
Line   82 | machine 1760932643   | 11111111 11111111 01000011 01000000 00000000 00000000 00000000 00000000 00000000 00000110 01101101 00000001 00000001 00110000 00110000 00000011 00000000 00000000 00000000 00100000 00000100 00000011 00000101 00000001 00000000 00000001 00000010 00110000 00000000 00000000 00000000 00000000 00001010 00001111 00001000 00010100 00000101 00000101 00000110 00000101 00000100 00011010 00000100 00011010 00000100 00011010 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000001 00000000 00000000 00000000 00000000 00000000 00000001 00000000 01100001 11001000 10100101
Line   83 | modem 1760932643     | 11111111 11111111 00001000 01000000 00000000 00000000 00000000 00000000 00000000 00000101 01001101 01100001 10000000
Line   84 | machine 1760932643   | 11111111 11111111 01000011 01000000 00000000 00000000 00000000 00000000 00000000 00000110 01101101 00000001 00000001 00110000 00110000 00000011 00000000 00000000 00000000 00100000 00000100 00000011 00000101 00000001 00000000 00000001 00000010 00110000 00000000 00000000 00000000 00000000 00001010 00001111 00001000 00010100 00000101 00000101 00000110 00000101 00000100 00011010 00000100 00011010 00000100 00011010 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000001 00000000 00000000 00000000 00000000 00000000 00000001 00000000 01100001 11001000 10100101
